stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token,cluster,keep_specific,keep_general
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,6.946099753268875e-06,12,170,6,20,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,8.65664885196793e-06,7,41,2,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-2408557,Selenocysteine synthesis,8.65664885196793e-06,10,112,2,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-422475,Axon guidance,8.867240215315597e-06,21,566,36,295,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-192823,Viral mRNA Translation,9.625349049802168e-06,10,114,2,2,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,9.89686053209926e-06,10,115,4,16,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-76002,"Platelet activation, signaling and aggregation",9.89686053209926e-06,15,294,32,119,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,1.0816681388803318e-05,10,117,5,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1.316074411761292e-05,10,120,3,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1.316074411761292e-05,10,120,2,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-927802,Nonsense-Mediated Decay (NMD),1.652280066632983e-05,10,124,5,6,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1.652280066632983e-05,10,124,4,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-194315,Signaling by Rho GTPases,1.7193101123247345e-05,23,708,58,203,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",2.3343947975762447e-05,23,724,58,212,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-72737,Cap-dependent Translation Initiation,2.3343947975762447e-05,10,130,10,18,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-72613,Eukaryotic Translation Initiation,2.3343947975762447e-05,10,130,12,21,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-195258,RHO GTPase Effectors,2.697385599126356e-05,15,325,31,113,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,4.543432869097419e-05,8,81,6,15,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-109582,Hemostasis,5.16399717653826e-05,24,821,55,366,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,8.307604778357014e-05,11,189,6,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-977225,Amyloid fiber formation,8.307604778357014e-05,8,89,10,33,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9613829,Chaperone Mediated Autophagy,9.203316132888606e-05,5,23,16,19,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9678108,SARS-CoV-1 Infection,0.0001263854657029,11,199,9,161,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,0.0001282238720701,13,284,6,103,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-168255,Influenza Infection,0.0001282238720701,11,200,3,61,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-8868773,rRNA processing in the nucleus and cytosol,0.0001739618026067,11,207,7,15,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9646399,Aggrephagy,0.0001844250915057,6,47,13,15,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-168273,Influenza Viral RNA Transcription and Replication,0.0002107612133217,10,173,2,14,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9711097,Cellular response to starvation,0.0002440595903618,10,176,4,28,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-2408522,Selenoamino acid metabolism,0.0003244632795573,10,182,2,33,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,0.0003349794920902,7,80,13,26,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",0.0003626037351103,6,54,1,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-72649,Translation initiation complex formation,0.0007374652502327,6,62,2,2,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,0.0007374652502327,6,62,1,6,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-72766,Translation,0.0008115431316058,15,448,48,126,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-6802957,Oncogenic MAPK signaling,0.000818136757609,7,93,37,46,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-72702,Ribosomal scanning and start codon recognition,0.0008290929004172,6,64,2,2,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-72312,rRNA processing,0.0008385632416286,11,252,7,22,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9663891,Selective autophagy,0.000944954597049,7,97,21,56,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.000944954597049,6,66,2,6,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9970672,FXIIa activates plasma kallikrein-kinin system,0.0011177062738969,5,42,13,18,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-2028269,Signaling by Hippo,0.0012230903871923,4,22,15,30,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,True
R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,0.0012473165662534,5,43,3,4,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-5653656,Vesicle-mediated transport,0.0013261110528917,21,833,71,254,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-109581,Apoptosis,0.0013261110528917,9,180,11,142,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-6802952,Signaling by BRAF and RAF1 fusions,0.0014977069387273,6,73,5,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9954709,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,0.0015078392160521,7,106,13,13,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-1266738,Developmental Biology,0.0015078392160521,38,2061,118,996,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-168256,Immune System,0.0015078392160521,50,3033,205,1895,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,0.0017372336688195,6,76,9,22,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9656223,Signaling by RAF1 mutants,0.0019996600830085,5,49,6,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-5602498,MyD88 deficiency (TLR2/4),0.0020245695293956,4,26,2,2,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-3371453,Regulation of HSF1-mediated heat shock response,0.0021110013962886,7,113,8,14,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-5625740,RHO GTPases activate PKNs,0.0021389171387748,6,79,9,20,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-5603041,IRAK4 deficiency (TLR2/4),0.0021695913251821,4,27,1,1,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-913531,Interferon Signaling,0.0022731084271079,15,507,9,157,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9705683,SARS-CoV-2-host interactions,0.0025894831023709,10,247,5,68,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9649948,Signaling downstream of RAS mutants,0.0026779002129706,5,54,7,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,0.0026779002129706,5,54,6,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,0.0026779002129706,5,54,6,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-6802949,Signaling by RAS mutants,0.0026779002129706,5,54,7,9,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-168249,Innate Immune System,0.0028667843164926,28,1387,123,782,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-2995410,Nuclear Envelope (NE) Reassembly,0.0032566582434712,6,88,2,24,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9833482,PKR-mediated signaling,0.0032566582434712,6,88,3,40,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-392499,Metabolism of proteins,0.0040968045007443,41,2427,226,928,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.0041168803392772,6,92,10,15,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,True
R-HSA-199991,Membrane Trafficking,0.0041796741863912,17,669,66,219,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9684482,IFIT antiviral response,0.0041796741863912,6,93,1,17,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9612973,Autophagy,0.0041877266628228,8,174,39,117,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.0043751488682675,4,34,2,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,True
R-HSA-3371556,Cellular response to heat stress,0.0048107959951235,7,135,13,29,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9615710,Late endosomal microautophagy,0.004875569868863,4,35,3,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-5357801,Programmed Cell Death,0.0049774667421969,9,225,18,194,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-1236974,ER-Phagosome pathway,0.0052525777248657,6,98,2,11,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-5626467,RHO GTPases activate IQGAPs,0.0054155208578697,4,36,3,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-69481,G2/M Checkpoints,0.005883354528372,7,142,4,24,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,0.006906605603093,3,17,1,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,0.007197823774242,5,70,4,10,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,True
R-HSA-68886,M Phase,0.0074457162220586,12,403,26,96,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-5686938,Regulation of TLR by endogenous ligand,0.0079721029210144,4,41,2,13,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9909649,Regulation of PD-L1(CD274) transcription,0.0092079891345442,5,74,8,18,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-6798695,Neutrophil degranulation,0.0093012767710558,13,478,7,10,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,0.0093012767710558,4,44,4,6,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-111447,Activation of BAD and translocation to mitochondria ,0.0093012767710558,3,19,2,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-8876725,Protein methylation,0.0093012767710558,3,19,3,9,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,0.0093012767710558,3,19,1,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9735871,SARS-CoV-1 targets host intracellular signalling and regulatory pathways,0.0093012767710558,3,19,1,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-1632852,Macroautophagy,0.0098096217373011,7,158,21,96,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins ,0.0099044008656528,3,20,2,2,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-2980766,Nuclear Envelope Breakdown,3.178216797294908e-06,9,65,5,13,MjAyNjA5MTMxMzA1MDRfMjMwOTk%3D,3,False,False
R-HSA-68875,Mitotic Prophase,6.819823084946997e-05,10,134,6,34,MjAyNjA5MTMxMzA1MDRfMjMwOTk%3D,3,False,False
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,7.177939758917784e-05,14,317,44,52,MjAyNjA5MTMxMzA1MDRfMjMwOTk%3D,3,False,False
R-HSA-194315,Signaling by Rho GTPases,7.177939758917784e-05,21,708,40,203,MjAyNjA5MTMxMzA1MDRfMjMwOTk%3D,3,False,False
